SR05C-DI-EBPM-03,SR05A-PC-Q2AD-04:I,0.970834,A,SR20A-PC-VSTR-06:I,0.009811,A

SR05C-DI-EBPM-04,SR05A-PC-Q1AD-05:I,1.255426,A,SR20A-PC-VSTR-06:I,0.009811,A

SR05C-DI-EBPM-04,SR05A-PC-Q1AB-06:I,1.295443,A,SR20A-PC-VSTR-06:I,0.009811,A

SR05C-DI-EBPM-05,SR05A-PC-Q2AB-07:I,1.053573,A,SR20A-PC-VSTR-06:I,0.009811,A

SR05C-DI-EBPM-06,SR05A-PC-Q3B-08:I,0.917080,A,SR08A-PC-VSTR-06:I,0.009622,A

SR05C-DI-EBPM-06,SR05A-PC-Q2B-09:I,1.464993,A,SR08A-PC-VSTR-06:I,0.009622,A

SR05C-DI-EBPM-07,SR05A-PC-Q1B-10:I,1.168697,A,SR05A-PC-VSTR-02:I,0.009730,A

SR06C-DI-EBPM-01,SR06A-PC-Q1B-01:I,1.168697,A,SR20A-PC-VSTR-06:I,0.009811,A

SR06C-DI-EBPM-02,SR06A-PC-Q2B-02:I,1.464993,A,SR20A-PC-VSTR-06:I,0.009811,A

SR06C-DI-EBPM-02,SR06A-PC-Q3B-03:I,0.917080,A,SR20A-PC-VSTR-06:I,0.009811,A

SR06C-DI-EBPM-03,SR06A-PC-Q2AB-04:I,1.053573,A,SR20A-PC-VSTR-06:I,0.009811,A

SR06C-DI-EBPM-04,SR06A-PC-Q1AB-05:I,1.295443,A,SR20A-PC-VSTR-06:I,0.009811,A

SR06C-DI-EBPM-04,SR06A-PC-Q1AB-06:I,1.295443,A,SR20A-PC-VSTR-06:I,0.009811,A

SR06C-DI-EBPM-05,SR06A-PC-Q2AB-07:I,1.053573,A,SR24A-PC-VSTR-06:I,0.0099,A

SR06C-DI-EBPM-06,SR06A-PC-Q3B-08:I,0.917080,A,SR05A-PC-VSTR-02:I,0.009730,A

SR06C-DI-EBPM-06,SR06A-PC-Q2B-09:I,1.464993,A,SR05A-PC-VSTR-02:I,0.009730,A

SR06C-DI-EBPM-07,SR06A-PC-Q1B-10:I,1.168697,A,SR06A-PC-VSTR-02:I,0.009549,A

SR07C-DI-EBPM-01,SR07A-PC-Q1B-01:I,1.168697,A,SR20A-PC-VSTR-06:I,0.009811,A

SR07C-DI-EBPM-02,SR07A-PC-Q2B-02:I,1.464993,A,SR08A-PC-VSTR-06:I,0.009622,A

SR07C-DI-EBPM-02,SR07A-PC-Q3B-03:I,0.917080,A,SR08A-PC-VSTR-06:I,0.009622,A

SR07C-DI-EBPM-03,SR07A-PC-Q2AB-04:I,1.053573,A,SR24A-PC-VSTR-06:I,0.0099,A

SR07C-DI-EBPM-04,SR07A-PC-Q1AB-05:I,1.295443,A,SR24A-PC-VSTR-06:I,0.0099,A

SR07C-DI-EBPM-04,SR07A-PC-Q1AB-06:I,1.295443,A,SR24A-PC-VSTR-06:I,0.0099,A

SR07C-DI-EBPM-05,SR07A-PC-Q2AB-07:I,1.053573,A,SR05A-PC-VSTR-02:I,0.009730,A

SR07C-DI-EBPM-06,SR07A-PC-Q3B-08:I,0.917080,A,SR05A-PC-VSTR-02:I,0.009730,A

SR07C-DI-EBPM-06,SR07A-PC-Q2B-09:I,1.464993,A,SR05A-PC-VSTR-02:I,0.009730,A

SR07C-DI-EBPM-07,SR07A-PC-Q1B-10:I,1.168697,A,SR05A-PC-VSTR-06:I,0.009575,A

SR08C-DI-EBPM-01,SR08A-PC-Q1B-01:I,1.168697,A,SR20A-PC-VSTR-06:I,0.009811,A

SR08C-DI-EBPM-02,SR08A-PC-Q2B-02:I,1.464993,A,SR05A-PC-VSTR-02:I,0.009730,A

SR08C-DI-EBPM-02,SR08A-PC-Q3B-03:I,0.917080,A,SR05A-PC-VSTR-02:I,0.009730,A

SR08C-DI-EBPM-03,SR08A-PC-Q2AB-04:I,1.053573,A,SR05A-PC-VSTR-02:I,0.009730,A

SR08C-DI-EBPM-04,SR08A-PC-Q1AB-05:I,1.295443,A,SR05A-PC-VSTR-02:I,0.009730,A

SR08C-DI-EBPM-04,SR08A-PC-Q1AD-06:I,1.255426,A,SR05A-PC-VSTR-02:I,0.009730,A

SR08C-DI-EBPM-05,SR08A-PC-Q2AD-07:I,0.970834,A,SR06A-PC-VSTR-02:I,0.009549,A

SR08C-DI-EBPM-06,SR08A-PC-Q3D-08:I,0.988427,A,SR05A-PC-VSTR-06:I,0.009575,A

SR08C-DI-EBPM-06,SR08A-PC-Q2D-09:I,1.295037,A,SR05A-PC-VSTR-06:I,0.009575,A

SR08C-DI-EBPM-07,SR08A-PC-Q1D-10:I,2.000976,A,SR06A-PC-VSTR-06:I,0.009659,A

SR08C-DI-EBPM-07,SR08A-PC-QUADF-01:I,1.539498,A,SR06A-PC-VSTR-06:I,0.009659,A

SR09S-DI-EBPM-01,SR09S-PC-QUADD-02:I,1.672555,A,SR20A-PC-VSTR-06:I,0.009811,A

SR09S-DI-EBPM-02,SR09S-PC-QUADF-03:I,1.769358,A,SR05A-PC-VSTR-02:I,0.009730,A

SR09C-DI-EBPM-01,SR09A-PC-QUADF-04:I,0.64518,A,SR21A-PC-VSTR-02:I,0.009793,A

SR09C-DI-EBPM-01,SR09A-PC-Q1D-01:I,1.539398,A,SR21A-PC-VSTR-02:I,0.009793,A

SR09C-DI-EBPM-02,SR09A-PC-Q2D-02:I,1.295037,A,SR20A-PC-VSTR-06:I,0.009811,A

